순번,정산ID,고유번호(ARS),정류장명,시도명,시군구명,읍면동명,경도(십진수 도_분) 표기,위도(십진수 도_분) 표기
1,3014014,75860,해밀리,세종특별자치시,세종시,연기면,127°15.8446'E,36°31.7182'N
2,3014017,75870,해밀리,세종특별자치시,세종시,연기면,127°15.8725'E,36°31.7626'N
3,3014025,75880,한별리,세종특별자치시,세종시,연기면,127°16.6025'E,36°32.0353'N
4,3014026,75890,한별리,세종특별자치시,세종시,연기면,127°16.5804'E,36°32.0419'N
5,3053004,75770,새롬동.나성동,세종특별자치시,세종시,새롬동,127°15.4461'E,36°29.2469'N
6,3053005,75760,새롬동.나성동,세종특별자치시,세종시,새롬동,127°15.4772'E,36°29.2111'N
7,3054003,75780,다정동,세종특별자치시,세종시,새롬동,127°15.3961'E,36°29.6303'N
8,3056002,75850,도담동,세종특별자치시,세종시,도담동,127°15.5357'E,36°30.8835'N
9,3056003,75840,도담동,세종특별자치시,세종시,도담동,127°15.5576'E,36°30.8368'N
10,3062004,75790,다정동,세종특별자치시,세종시,도담동,127°15.3847'E,36°29.6821'N
11,3062006,75800,정부세종청사남측,세종특별자치시,세종시,도담동,127°15.5810'E,36°30.0419'N
12,3062007,75810,정부세종청사남측,세종특별자치시,세종시,도담동,127°15.5932'E,36°30.0969'N
13,8001001,51870,대덕우체국네거리,대전광역시,대덕구,목상동,127°24.3263'E,36°26.6403'N
14,8001002,51900,대덕우체국네거리,대전광역시,대덕구,목상동,127°24.3063'E,36°26.6730'N
15,8001003,12750,가는골,대전광역시,동구,대청동,127°28.9711'E,36°20.1022'N
16,8001004,12740,가는골,대전광역시,동구,대청동,127°28.9727'E,36°20.1156'N
17,8001005,32650,가람아파트,대전광역시,서구,둔산1동,127°23.7568'E,36°21.4420'N
18,8001006,14000,가목정마을,대전광역시,동구,산내동,127°26.3225'E,36°12.6526'N
19,8001007,14010,가목정마을,대전광역시,동구,산내동,127°26.3315'E,36°12.6477'N
20,8001008,33090,가수원동,대전광역시,서구,가수원동,127°21.1004'E,36°18.0139'N
21,8001009,33200,가수원네거리,대전광역시,서구,가수원동,127°21.3751'E,36°18.3424'N
22,8001011,33120,가수원시장,대전광역시,서구,가수원동,127°21.2110'E,36°18.2451'N
23,8001012,33140,가수원시장,대전광역시,서구,가수원동,127°21.2243'E,36°18.2484'N
24,8001013,34870,가수원파출소,대전광역시,서구,가수원동,127°21.1645'E,36°18.4075'N
25,8001014,33100,가수원파출소,대전광역시,서구,가수원동,127°21.1247'E,36°18.4592'N
